GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400058,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,1851.0,3.0,7.0,0.429,2.0,4.0,0.5,5.0,5.0,1.0,1.0,2.0,3.0,4.0,3.0,0.0,2.0,3.0,13.0,-20.0
22400058,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,F,1731.0,9.0,18.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,4.0,19.0,-7.0
22400058,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,C,1474.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,4.0,7.0,11.0,5.0,2.0,1.0,3.0,6.0,5.0,-3.0
22400058,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,G,1472.0,6.0,11.0,0.545,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,2.0,5.0,13.0,-13.0
22400058,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,2058.0,8.0,23.0,0.348,4.0,15.0,0.267,4.0,4.0,1.0,1.0,6.0,7.0,11.0,0.0,0.0,5.0,0.0,24.0,5.0
22400058,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,1284.0,2.0,8.0,0.25,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,6.0,-6.0
22400058,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,,1298.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,4.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,7.0,5.0
22400058,1610612744,GSW,Golden State,203937,Kyle Anderson,Kyle,,1147.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0
22400058,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,1242.0,4.0,10.0,0.4,2.0,6.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,13.0,1.0
22400058,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,843.0,5.0,6.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,18.0
22400058,1610612744,GSW,Golden State,1630611,Gui Santos,Gui,,,,,,,,,,,,,,,,,,,,,
22400058,1610612744,GSW,Golden State,1630311,Pat Spencer,Pat,,,,,,,,,,,,,,,,,,,,,
22400058,1610612744,GSW,Golden State,1630322,Lindy Waters III,Lindy,,,,,,,,,,,,,,,,,,,,,
22400058,1610612743,DEN,Denver,1629008,Michael Porter Jr.,Michael,F,1883.0,8.0,14.0,0.571,1.0,3.0,0.333,5.0,6.0,0.833,1.0,6.0,7.0,2.0,1.0,0.0,2.0,2.0,22.0,-1.0
22400058,1610612743,DEN,Denver,203932,Aaron Gordon,Aaron,F,1974.0,4.0,6.0,0.667,3.0,4.0,0.75,4.0,6.0,0.667,0.0,9.0,9.0,5.0,0.0,0.0,2.0,0.0,15.0,13.0
22400058,1610612743,DEN,Denver,203999,Nikola Jokić,Nikola,C,2402.0,14.0,24.0,0.583,3.0,4.0,0.75,7.0,9.0,0.778,2.0,8.0,10.0,6.0,5.0,1.0,4.0,1.0,38.0,23.0
22400058,1610612743,DEN,Denver,1631128,Christian Braun,Christian,G,2152.0,3.0,7.0,0.429,0.0,2.0,0.0,5.0,7.0,0.714,0.0,6.0,6.0,2.0,1.0,0.0,3.0,3.0,11.0,23.0
22400058,1610612743,DEN,Denver,1627750,Jamal Murray,Jamal,G,2054.0,4.0,12.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,0.0,3.0,3.0,7.0,1.0,3.0,1.0,3.0,12.0,4.0
22400058,1610612743,DEN,Denver,201566,Russell Westbrook,Russell,,1356.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,3.0,7.0,-10.0
22400058,1610612743,DEN,Denver,1631212,Peyton Watson,Peyton,,1062.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,7.0,-17.0
22400058,1610612743,DEN,Denver,1631124,Julian Strawther,Julian,,1196.0,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,-4.0
22400058,1610612743,DEN,Denver,1630192,Zeke Nnaji,Zeke,,322.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-11.0
22400058,1610612743,DEN,Denver,1641790,PJ Hall,PJ,,,,,,,,,,,,,,,,,,,,,
22400058,1610612743,DEN,Denver,201599,DeAndre Jordan,DeAndre,,,,,,,,,,,,,,,,,,,,,
22400058,1610612743,DEN,Denver,1629618,Jalen Pickett,Jalen,,,,,,,,,,,,,,,,,,,,,
22400058,1610612743,DEN,Denver,1641816,Hunter Tyson,Hunter,,,,,,,,,,,,,,,,,,,,,
22400058,1610612743,DEN,Denver,203967,Dario Šarić,Dario,,,,,,,,,,,,,,,,,,,,,
